Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,Units,
445e3555-f017-4784-8edf-0556258cc918,,MCL/CIEL:1709,VERBAL AUTOPSY REFERENCE NUMBER,,,VA REF NO,,,The internal reference number for verbal autopsy.,,,Question ,Text,,,
1ca8cf4c-9740-458e-8f95-dc9fb1352094,,MCL/CIEL:162725,ADDRESS (TEXT),,,,,,Generic field to capture an address in text form.,,,Question,Text,,,
d4a529fd-09cf-428f-90de-57f25b1fe58a,,,WITNESSED BY,,,,,,Witnessed by,,,Question,Text,,,
349aa0bf-9f63-4290-a06b-f1822b1e7448,,MCL/CIEL:166969,LOCATION OF DEATH TEXT,,,PLACE OF DEATH TEXT,,,Question to record place of death in free text,,,Question,Text,,,
27c8495c-4bb3-4b85-9fdd-e87bcb1f45ba,,,LOCATION OF POST MOTERM TEXT,,,,,,Question to record place of post moterm in free text,,,Question,Text,,,
a8bbaafb-ce87-49bb-a7d5-64e0f5f5a59a,,MCL/CIEL:163189,NUTRITION PLAN TEXT,,,,,,Question to record nutrition plan in free text,,,Question ,Text,,,
ff10f84d-39ad-40ca-8819-e24a84c45488,,,GENERAL EXAMINATION TEXT,,,,,,Question to record general examination in feetext,,,Question,Text,,,
cf05a97a-858e-4a4e-8c4d-dd4b423d258c,,,PATHOLOGY RESPIRATORY FINDINGS TEXT,,,,,,Question to record respiratory examination in feetext,,,Question ,Text,,,
45be57cf-aa2f-4518-8ff8-20cdc6011256,,,PATHOLOGY CADIOVASCULAR FINDINGS TEXT,,,,,,Question to record cadiovascular examination in feetext,,,Question,Text,,,
d83019f8-af26-4c23-9b67-8d9e4af7d8c3,,,PATHOLOGY DIGESTIVE FINDINGS TEXT,,,,,,Question to record digestive examination in feetext,,,Question,Text,,,
2ff39563-0428-4a3f-a5c6-8f6719781c7d,,,PATHOLOGY GENITOURINARY FINDINGS TEXT,,,,,,Question to record genitourinary examination in feetext,,,Question,Text,,,
083c0ac2-ca9c-4363-9f43-da457e1be519,,,PATHOLOGY HEAD FINDINGS TEXT,,,,,,Question to record head examination in feetext,,,Question,Text,,,
47340ecb-6ab1-4637-9b5f-f802de89c634,,,PATHOLOGY NERVOUS SYSTEM FINDINGS TEXT,,,,,,Question to nervous nervous system examination in feetext,,,Question,Text,,,
e5694295-26b0-4707-8427-6f2a11daa9d4,,,PATHOLOGY SPIRAL COLUMN FINDINGS TEXT,,,,,,Question to record spiral column examination in feetext,,,Question,Text,,,
7e530da1-61fe-4e6f-a2b3-33cb3c3e3f07,,,PATHOLOGY SPIRAL CORD FINDINGS TEXT,,,,,,Question to record spiral cord examination in feetext,,,Question,Text,,,
fa4c4198-b3b2-41fc-b97f-924964c81d87,,,AUTOPSY SPECIMEN COLLECTED,,,,,,Question to record autopsy specimen collected in freetext,,,Question ,Text,,,
90d4640d-5da3-4a5e-913f-8501467250ad,,MCL/CIEL:160951,UPPER GASTROINTESTINAL EXAMINATION TEXT,,,O/E UPPER GI,,,Stomach/duodenum examination (text),,,Finding ,Text,,,
95a61efd-c803-4b05-bc0d-3dd3cbfdcc56,,MCL/CIEL:160959,SMALL INTESTINE EXAMINATION TEXT,,,O/E SMALL INTESTINE,,,,,,Finding ,Text,,,
009787d1-b841-4352-b76b-6f52b6a552ed,,MCL/CIEL:160953,LIVER EXAMINATION TEXT,,,O/E LIVER,,,,,,Finding ,Text,,,
ce85c387-963e-481d-b265-43462dd2c624,,MCL/CIEL:160983,RESULTS OF KIDNEY OR URETER EXAM,,,,,,Result of kidney or ureter procedure (text),,,Finding ,Text,,,
01c75d60-e93b-44e8-93ea-18bcd9417214,,,PERIPHERAL BLOOD FILM EXAMINATION,,,,,,A peripheral blood smear is often used as a follow-up test to abnormal results on a complete blood count (CBC).,,,Test,Text,,,
