Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,Units,
2495f929-3eb2-4220-88d6-a70240c1116f,,MCL/CIEL:146926;ICD-11-WHO:MD94,HALITOSIS,,,BAD BREATH,,,"An offensive, foul breath odor resulting from a variety of causes such as poor oral hygiene, dental or oral infections, or the ingestion of certain foods.",,,Diagnosis,N/A,,,
3b2b4106-9033-4b4f-98f7-a71d21519a56,,MCL/CIEL:147913;ICD-11-WHO:MD91,BELCHING SYMPTOM,,,BURPING,,,Is the release of air from the stomach through the mouth,,,Diagnosis,N/A,,,
6fcd9705-34a1-460a-82b9-865bda2eb334,,MCL/CIEL:158833;ICD-11-WHO:DA0E.8,SNAPPING JAW,,,CLICKING JAW,,,"Snapping jaw is a condition in which a person experiences a clicking, popping, or snapping sound or sensation in the jaw when opening or closing the mouth, chewing, or yawning.",,,Diagnosis,N/A,,,
598019b9-8a8b-452e-a648-4646ecf64bff,,MCL/CIEL:156095,DRY MOUTH,,,XEROSTOMIA,,,Is a condition where the mouth feels dry due to reduced saliva production or changes in saliva flow.,,,Diagnosis,N/A,,,
58d58a06-d171-4889-9b43-22c9be165b80,,MCL/CIEL:124105,TRISMUS,,,,,,"Spasmodic contraction of the masseter muscle resulting in forceful jaw closure. This may be seen with a variety of diseases, including TETANUS, as a complication of radiation therapy, trauma, or in association with neoplastic conditions.",,,Diagnosis ,N/A,,,
a8777be0-d2d5-44d8-8218-807226b87e80,,MCL/CIEL:135600,LOOSENING OF TOOTH,,,,,,Pain in the adjacent areas of the teeth.,,,Diagnosis,N/A,,,
b91ded29-5664-4375-96d4-79a75b14dc64,,MCL/CIEL:129420,POSTERUPTIVE COLOR CHANGE OF TOOTH,,,,,,,,,Diagnosis,N/A,,,
45b669b2-7024-4500-bba8-7b16023f13d8,,MCL/CIEL:146859,BRUXISM,,,TEETH GRINDING,,,"An oral habit consisting of involuntary rhythmic or spasmodic nonfunctional gnashing, grinding, and clenching of teeth on other than chewing movements of the mandible, usually performed during sleep, which may lead to occlusal trauma. Causes are believed to be related to repressed aggression, emotional tension, anger, fear, and frustration. (Dorland, 27th ed)",,,Diagnosis,N/A,,,
752d5ef3-df96-4b18-a5df-a578d46ae72d,,,TOOTH SENSITIVITY,,,,,,"Is a sharp, short pain or discomfort in one or more teeth when exposed to cold, hot, sweet, sour, or air.",,,Diagnosis,N/A,,,
aaa9328f-a20d-4a72-9e52-fd7a42437e72,,,"REVIEW OF SYSTEMS, DENTAL",,,,,,Question which ascertains number of symptoms related to a person's dental health.,,,Question ,Coded,a899e7b4-1350-11df-a1f1-0026b9348838;a899e890-1350-11df-a1f1-0026b9348838;a890eb28-1350-11df-a1f1-0026b9348838;a899e0ac-1350-11df-a1f1-0026b9348838;2ea4a0d5-11f3-4e5c-acdc-c43806c3d97f;09db9316-56dc-4417-be62-fa8b7a8008ec;cb962b84-a6e8-42da-86f4-bb630853cabc;ab11d0bc-0899-401f-94ef-f52a37b0a030;a8a775a0-1350-11df-a1f1-0026b9348838;d6e18058-cf40-43d3-9880-cfe7effe0083;143a2c94-8dee-4a63-acca-4d0c9df134bf;75fb406e-2d5f-4b4c-b362-b41b6d7e4d46;1dbb0b77-81e9-4c56-bdf5-c597222dac84,,
2ea4a0d5-11f3-4e5c-acdc-c43806c3d97f,,MCL/CIEL:132487,OCCUPATIONAL EROSION OF TEETH,,,,,,"Progressive loss of the hard substance of a tooth by chemical processes that do not involve bacterial action. (Jablonski, Dictionary of Dentistry, 1992, p296)",,,Diagnosis,N/A,,,
09db9316-56dc-4417-be62-fa8b7a8008ec,,MCL/CIEL:137758;ICD-11-WHO:DA07.8,IMPACTED TEETH,,,,,,"teeth that fail to fully erupt into their normal position in the mouth because they are blocked by bone, gum tissue, or other teeth.",,,Diagnosis,N/A,,,
cb962b84-a6e8-42da-86f4-bb630853cabc,,MCL/CIEL:115953;ICD-11-WHO:DA0E.5,MALOCCLUSION,,,,,,"Such malposition and contact of the maxillary and mandibular teeth as to interfere with the highest efficiency during the excursive movements of the jaw that are essential for mastication. (Jablonski, Illustrated Dictionary of Dentistry, 1982)",,,Diagnosis,N/A,,,
d6e18058-cf40-43d3-9880-cfe7effe0083,,MCL/CIEL:142583,DENTAL PLAQUE,,,,,,"A film that attaches to teeth, often causing DENTAL CARIES and GINGIVITIS. It is composed of MUCINS, secreted from salivary glands, and microorganisms.",,,Diagnosis,N/A,,,
143a2c94-8dee-4a63-acca-4d0c9df134bf,,MCL/CIEL:142587,DENTAL ABSCESS,,,,,,"Acute or chronic inflammation of tissues surrounding the apical portion of a tooth, associated with the collection of pus, resulting from infection following pulp infection through a carious lesion or as a result of an injury causing pulp necrosis. (Dorland, 27th ed)",,,Diagnosis ,N/A,,,
75fb406e-2d5f-4b4c-b362-b41b6d7e4d46,,MCL/CIEL:112454;ICD-11-WHO:DA0E.8,TEMPOROMANDIBULAR JOINT DISORDERS,,,,,,"A variety of conditions affecting the anatomic and functional characteristics of the temporomandibular joint. Factors contributing to the complexity of temporomandibular diseases are its relation to dentition and mastication and the symptomatic effects in other areas which account for referred pain to the joint and the difficulties in applying traditional diagnostic procedures to temporomandibular joint pathology where tissue is rarely obtained and x-rays are often inadequate or nonspecific. Common diseases are developmental abnormalities, trauma, subluxation, luxation, arthritis, and neoplasia. (From Thoma's Oral Pathology, 6th ed, pp577-600)",,,Diagnosis ,N/A,,,
7d44ddef-9173-429b-ab1b-13cb675288c8,,,DIAGNOSIS CATEGORY,,,,,,Categorization of diagnosis,,,Question,Coded,a8a48066-1350-11df-a1f1-0026b9348838;0f54c045-a81c-4e26-8b11-05086470738e,,
