Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,Units,
f092c609-b7bd-4d6c-a9b7-c6398eb690e3,,MCL/CIEL:111004,SEVERE BURN,,,,,,"Injuries to tissues caused by contact with heat, steam, chemicals (BURNS, CHEMICAL), electricity (BURNS, ELECTRIC), or the like.",,,Diagnosis,N/A,,,
9d500d21-e54e-4277-8d87-72eb82281110,,MCL/CIEL:146599;ICD-11-WHO:MG20,CACHEXIA,,,,,,"General ill health, malnutrition, and weight loss, usually associated with chronic disease.",,,Diagnosis,N/A,,,
98449c37-014f-4915-a373-f70133ec1f14,,MCL/CIEL:145727,CHEMICAL BURN,,,,,,"A chemical burn is an injury to the skin, eyes, or internal tissues caused by direct contact with corrosive chemicals",,,Diagnosis,N/A,,,
f558a123-c888-4e52-b40d-706916f456a9,,MCL/CIEL:132338;ICD-11-WHO:XJ7YM,OPEN FRACTURE,,,,,,Fractures in which there is an external wound communicating with the break of the bone.,,,Diagnosis,N/A,,,
a5dc6336-b49f-4f56-9ccc-a7cda982faa7,,MCL/CIEL:139899;ICD-11-WHO:XJ44E,CLOSED FRACTURE,,,,,,Fractures in which the break in bone is not accompanied by an external wound.,,,Diagnosis,N/A,,,
e81d5026-1f40-4b20-978d-140c752e3fa9,,MCL/CIEL:141406,ELECTRICAL BURN,,,,,,"Injuries to tissues caused by contact with heat, steam, chemicals (BURNS, CHEMICAL), electricity (BURNS, ELECTRIC), or the like.",,,Diagnosis,N/A,,,
a94a5434-f8d3-4861-9cb8-bc7f30510115,,MCL/CIEL:138291,HYPERGLYCEMIA,,,ELEVATED BLOOD SUGAR,,,Abnormally increased content of sugar in the blood.,,,Diagnosis,N/A,,,
e64230be-5bf1-4f1e-800d-d2a510e65530,,MCL/CIEL:162753,LEVEL OF MOBILITY,,,MOBILITY,,,Level of mobility,,,Question ,Coded,cc96cdb5-c62b-4d29-805d-3f48d5a285cb;31b95466-7a6d-4a38-a7e7-678d91dbfa9c;a899b50a-1350-11df-a1f1-0026b9348838;7bbd88f0-39a3-4802-9923-06b762100800;47e7d083-eafd-4fb4-b8c6-7f91fbaa0d3f;128c543a-717e-4697-a7d7-a1627586d4b3,,
47e7d083-eafd-4fb4-b8c6-7f91fbaa0d3f,,MCL/CIEL:162750,WALK WITHOUT ASSISTANCE,,,AMBULATES WITHOUT ASSISTANCE,,,Able to walk without assistance,,,Finding,N/A,,,
128c543a-717e-4697-a7d7-a1627586d4b3,,MCL/CIEL:162751,WALK WITH ASSISTANCE,,,AMBULATES WITH ASSISTANCE,,,Able to walk ,,,Finding,N/A,,,
48921243-38b9-4569-b52b-321a26aac763,,MCL/CIEL:162643,LEVEL OF CONSCIOUSNESS,,,,,,Question to record the level of consciousness,,,Finding ,Coded,04f9358a-226d-4fe1-9cd7-d47eabab15db;9c057035-7d44-4a40-9f47-ac3798a13a96;7ca3ba0c-7c11-418e-b7e0-4200c96107be;485a3b99-5cfa-43f6-9f3a-b1eb384385ee,,
04f9358a-226d-4fe1-9cd7-d47eabab15db,,MCL/CIEL:160282,CONSCIOUS,,,AWAKE,,,Responds to verbal stimuli,,,Finding,N/A,,,
9c057035-7d44-4a40-9f47-ac3798a13a96,,MCL/CIEL:162644,RESPONDS TO PAIN,,,,,,Response to painfull stimuli,,,Finding ,N/A,,,
7ca3ba0c-7c11-418e-b7e0-4200c96107be,,MCL/CIEL:162645,RESPONDS TO VOICE,,,,,,Responds to voice stimuli,,,Finding ,N/A,,,
7d14cdba-ef6e-4a39-a9bd-951f177e0617,,,MODE OF TEMPERATURE COLLECTION,,,,,,Question to collect mode of temperature collection,,,Finding ,Coded,a8a67a60-1350-11df-a1f1-0026b9348838;a16d5b0d-6ffd-43e5-b47e-019f244054d3;db0c5937-3874-4eae-9566-9a645ad7ac65,,
a16d5b0d-6ffd-43e5-b47e-019f244054d3,,ICD-11-WHO:XA6TR8,FOREHEAD,,,,,,Includes eyebrow,,,Anatomy,N/A,,,
cdfbd2c2-9034-4795-9968-a98fb9b0e86e,,MCL/CIEL:162739,AIR SUPPLY MODE,,,,,,Type of air supply to patient,,,Question ,Coded,5fd6a143-9a00-4200-a40c-eaafa4555cf3;40f55914-ce71-40f4-b636-190efb9733b8,,
40f55914-ce71-40f4-b636-190efb9733b8,,MCL/CIEL:162735,ROOM AIR,,,,,,Room air,,,Misc,N/A,,,
