Concept,Member,Member type,Sort Weight
21b8cf43-9f9f-4d02-9f4a-d710ece54261,a89b1fe4-1350-11df-a1f1-0026b9348838,concept-set,1
21b8cf43-9f9f-4d02-9f4a-d710ece54261,a8a8b42e-1350-11df-a1f1-0026b9348838,concept-set,2
21b8cf43-9f9f-4d02-9f4a-d710ece54261,5adeb9de-5545-4272-add4-a661005f727e,concept-set,3
21b8cf43-9f9f-4d02-9f4a-d710ece54261,ff3243bf-05f6-426d-aa49-969034962e45,concept-set,4
21b8cf43-9f9f-4d02-9f4a-d710ece54261,a8a09ac8-1350-11df-a1f1-0026b9348838,concept-set,5
21b8cf43-9f9f-4d02-9f4a-d710ece54261,a8a37996-1350-11df-a1f1-0026b9348838,concept-set,6
21b8cf43-9f9f-4d02-9f4a-d710ece54261,3e5ad07b-2ced-4925-8264-cc4d8d1438d4,concept-set,7
21b8cf43-9f9f-4d02-9f4a-d710ece54261,385aa16d-3af8-4fc8-b490-f861bc1da684,concept-set,8
21b8cf43-9f9f-4d02-9f4a-d710ece54261,a8a8b190-1350-11df-a1f1-0026b9348838,concept-set,9
21b8cf43-9f9f-4d02-9f4a-d710ece54261,36cec0b9-8a27-49f9-ae73-08b25f4605d0,concept-set,10
22b8cf43-9f9f-4d02-9f4a-d710ece54261,6c28b299-2e99-43c2-9156-1dd77f789661,concept-set,11
22b8cf43-9f9f-4d02-9f4a-d710ece54261,6c28b299-2e99-43c2-9156-1dd77f789661,concept-set,12
