Concept,Member,Member type,Sort Weight
0cb778e1-aa83-456f-8099-6b241dbfd647,a898f50c-1350-11df-a1f1-0026b9348838,concept-set,1
0cb778e1-aa83-456f-8099-6b241dbfd647,a898b2ea-1350-11df-a1f1-0026b9348838,concept-set,2
0cb778e1-aa83-456f-8099-6b241dbfd647,cde31588-6c57-4260-adca-b13c3cfb82fe,concept-set,3
0cb778e1-aa83-456f-8099-6b241dbfd647,a8909524-1350-11df-a1f1-0026b9348838,concept-set,4
0cb778e1-aa83-456f-8099-6b241dbfd647,a8945c7c-1350-11df-a1f1-0026b9348838,concept-set,5
0cb778e1-aa83-456f-8099-6b241dbfd647,c66b2f4c-87af-4de5-93a9-209141f167e4,concept-set,6
0cb778e1-aa83-456f-8099-6b241dbfd647,c6ff86c3-9592-4988-9dc8-e427218333bc,concept-set,7
0cb778e1-aa83-456f-8099-6b241dbfd647,a8945ac4-1350-11df-a1f1-0026b9348838,concept-set,8
0cb778e1-aa83-456f-8099-6b241dbfd647,a8909f56-1350-11df-a1f1-0026b9348838,concept-set,9
0cb778e1-aa83-456f-8099-6b241dbfd647,a8945678-1350-11df-a1f1-0026b9348838,concept-set,10
0cb778e1-aa83-456f-8099-6b241dbfd647,00ed7062-a576-4749-9dcb-783840caddc1,concept-set,11
0cb778e1-aa83-456f-8099-6b241dbfd647,a8945ba0-1350-11df-a1f1-0026b9348838,concept-set,12
0cb778e1-aa83-456f-8099-6b241dbfd647,a8945d4e-1350-11df-a1f1-0026b9348838,concept-set,13
0cb778e1-aa83-456f-8099-6b241dbfd647,1b2dc83b-9abf-4494-b18e-2bfd76b5db4d,concept-set,14
0cb778e1-aa83-456f-8099-6b241dbfd647,a8999fb6-1350-11df-a1f1-0026b9348838,concept-set,15
0cb778e1-aa83-456f-8099-6b241dbfd647,a894590c-1350-11df-a1f1-0026b9348838,concept-set,16
0cb778e1-aa83-456f-8099-6b241dbfd647,a8945754-1350-11df-a1f1-0026b9348838,concept-set,17
0cb778e1-aa83-456f-8099-6b241dbfd647,a8999dfe-1350-11df-a1f1-0026b9348838,concept-set,18
0cb778e1-aa83-456f-8099-6b241dbfd647,a8af7520-1350-11df-a1f1-0026b9348838,concept-set,19
0cb778e1-aa83-456f-8099-6b241dbfd647,00ed7062-a576-4749-9dcb-783840caddc1,concept-set,20
0cb778e1-aa83-456f-8099-6b241dbfd647,a89c7a4c-1350-11df-a1f1-0026b9348838,concept-set,21
